Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.8564935,1.2501482e-09,816.5713,81.65713,4206.476,1506.7102,-1682.658,1649.4752,827.4541,2691.3735,-49.26016,1679.4272,823.0255,2688.7773,-118.8305,0.55836207,8.31898,50.1885,-18.244097,0.12633188,0.98060894,4.6911583,-5.6539583,-0.47303575,0.2463324,0.24303871,-1.7902414,0.21483839,7.284783e-10,995.7180911440997,1000.9070700020058,1001.5948475642465,820000,1307196,0,330.42135452100774,76.32136720995186,6.289854642993305,413.0325763739529,85119.55616004119,204
0.63067454,1.1748659e-09,810.1303,81.01303,4614.148,1814.4186,-1712.741,1677.8252,820.73816,2737.6772,-364.02124,1725.2502,800.13794,2738.9575,-9.477178,1.430708,8.979415,46.957184,-16.1148,0.12778676,1.0170192,4.177607,-5.2586308,-0.49756184,0.22719085,0.08309524,-1.5974123,0.35288078,6.20041e-10,990.6516885539353,995.6421425783108,1003.3877567188044,824000,1312348,0,328.2568880050094,74.12784847401781,6.65347594715422,409.0382124261814,85528.76822128228,205
0.5259212,1.1407285e-09,818.0486,81.80486,3973.0586,1446.1571,-1783.3412,1745.5,837.78125,2728.0347,-17.263433,1789.9723,818.06,2746.4016,-1.5223882,0.7402966,8.665762,41.812855,-17.369034,0.1576628,0.98106694,5.4077163,-5.389323,-0.49298942,0.23291393,0.11463445,-1.6480885,0.27939633,4.8390436e-10,951.4114707587672,982.5944261406408,980.2845648747538,828000,1317348,0,333.23484439897584,74.30282296199584,6.245068772812374,413.78273613378406,85944.41474354098,206
1.0543833,9.343859e-10,808.8385,80.88385,4310.4707,1620.0602,-1744.7627,1703.1318,829.5222,2718.7097,-44.33043,1751.3804,810.9891,2740.4185,-9.122193,0.95394486,8.813762,50.00904,-15.492711,0.13867277,0.98652047,4.143954,-4.9950123,-0.5000858,0.24155794,0.027234808,-1.5656998,0.3941216,7.8114226e-10,999.8492681789223,993.8024466542618,999.8355720260337,832000,1322348,0,332.6993968409952,76.16768952400889,6.286989969084971,415.15407633408904,86358.32416224305,207
0.9966378,1.4929865e-09,816.8817,81.68817,3745.2185,1220.8477,-1851.6533,1799.4414,831.0423,2754.8281,-52.90917,1850.7697,809.53973,2765.986,-47.81576,0.54953396,8.666047,45.064617,-16.560795,0.1595995,0.97027004,4.550826,-5.1785564,-0.48284003,0.23596929,0.04101576,-1.6529748,0.4496491,4.94582e-10,974.1762002286634,989.7076571978382,998.2261483955614,836000,1327348,0,330.7808191559743,74.9242025979911,6.348962446092628,412.05398420005804,86773.69334479008,208
1.1064289,9.743552e-10,812.0005,81.20005,4067.0461,1567.816,-1742.4889,1688.0104,834.7758,2750.1394,-203.16316,1739.0457,822.29254,2782.597,-43.747475,1.2068075,8.879984,44.6821,-15.535076,0.1577902,1.0075825,4.236502,-5.668972,-0.4813886,0.23052928,0.119517386,-1.6937187,0.3510638,7.0124334e-10,988.7937198926376,998.0117424585383,998.0077842779494,840000,1332348,0,332.59540958999423,78.24044757999945,6.286197112814989,417.1220542828087,87185.09150080604,209
0.38402674,1.3299719e-09,809.0313,80.90313,4776.419,1435.3428,-1738.9681,1704.7689,821.61566,2736.322,-42.96308,1740.4392,813.0379,2750.3435,-98.68715,0.43619922,8.382828,44.59735,-16.897318,0.13518395,0.9677991,5.5805225,-5.4633393,-0.48820147,0.24263287,-0.021098949,-2.00978,0.35557777,1.2244176e-09,983.2448844377483,984.2826923395202,1000.0641818796729,844000,1337348,0,332.9234776579542,72.51776579301804,6.279437420831528,411.7206808718038,87598.97009308677,210
1.0853049,1.3043453e-09,819.00476,81.900475,3860.5706,1404.6709,-1793.7894,1753.4321,848.6381,2806.5156,-102.900055,1787.4253,833.637,2805.1074,-36.763508,0.7267389,8.7386055,52.13777,-15.550629,0.11092548,0.9878017,4.4984684,-5.945514,-0.48551586,0.24054587,0.18534338,-1.8323753,0.27949157,7.35502e-10,988.2011630638206,990.9881219851878,1009.1952409132499,848000,1342492,0,329.96991369704483,74.6767966580228,6.494656375027262,411.1413667300949,88009.41839502682,211
0.64930916,1.0873927e-09,822.067,82.2067,3536.2278,1560.9506,-1896.9219,1853.7504,836.3881,2765.7231,-66.92083,1897.9946,812.35736,2775.24,-55.124966,-0.0038244277,8.616694,50.737534,-16.342812,0.13430052,0.9455111,5.4577227,-5.679244,-0.49095047,0.24102613,0.3934198,-1.6165487,0.43291488,4.899369e-10,988.6442357099919,994.730817953547,1003.823756972223,852000,1347492,0,333.0945598279941,73.98489217198221,6.284181238966994,413.3636332389433,88422.91858200473,212
0.7300498,1.1655127e-09,816.2539,81.62539,3626.8047,1640.026,-1827.0891,1773.0088,857.7203,2779.3596,-100.640274,1810.5073,842.61615,2795.919,-73.6349,0.5922363,9.132513,56.539433,-15.683805,0.16213678,0.9747033,4.4380627,-6.2086124,-0.47853446,0.23584786,-0.050963737,-2.1545653,0.618004,5.148399e-10,979.6242300711855,986.8919745454366,1002.7550873582708,856000,1352672,0,328.9382960770163,74.12254587502684,6.554037681082264,409.6148796331254,88832.93209351279,213
1.1644388,1.255591e-09,831.42334,83.142334,3904.8926,1568.6293,-1819.1505,1784.8906,859.57214,2844.864,-45.01635,1813.969,845.3956,2839.669,-87.77376,0.4887709,8.612143,40.96901,-19.29803,0.15483843,0.97253215,4.57377,-5.1750574,-0.48405704,0.23131126,0.37808505,-1.6664982,0.34298065,7.465979e-10,970.2842004957224,982.8585248936586,1004.9969761754272,860000,1357672,0,332.66702973801875,74.52232872799505,6.285312367079314,413.4746708330931,89244.76553249778,214
1.5456575,7.987805e-10,849.6746,84.96746,4298.538,1595.5461,-1848.622,1807.4846,870.96136,2846.5923,-55.3251,1852.0933,858.1319,2875.9363,-53.77977,1.0511036,9.135593,50.92566,-15.65482,0.14654312,0.99761176,5.335593,-5.6000543,-0.49575692,0.23734127,-0.017329514,-1.9719001,0.51156855,8.126376e-10,979.1976700774346,975.7857265922424,1003.0158373358823,864000,1362822,0,332.5556644630269,72.88225248997333,6.462431421969086,411.9003483749693,89658.72307610477,215
